date,hpi,country,mortgage_rate,gdp_growth,unemployment,permits,ecb_rate,hpi_growth,hpi_growth_yoy,mort_lag1,mort_lag2,mort_lag3,mort_lag4,post_qe,mort_change,mort_change_lag1,mort_x_post_qe
2007-06-30,99.9248,FR,4.23,0.5,8.133333,149.4,2.7994505494505493,1.7346595941804654,6.517032632598929,4.156666666666667,4.066666666666666,3.89,3.703333333333333,0,0.07333333333333325,0.09000000000000075,0.0
2007-09-30,102.23,FR,4.496666666666667,0.6,8.0,145.8,3.0,2.3069348149808544,5.69947972240834,4.23,4.156666666666667,4.066666666666666,3.89,0,0.2666666666666666,0.07333333333333325,0.0
2007-12-31,102.8314,FR,4.796666666666667,0.8,7.5,134.8,3.0,0.5882813264208142,5.447121290738055,4.496666666666667,4.23,4.156666666666667,4.066666666666666,0,0.2999999999999998,0.2666666666666666,0.0
2008-03-31,102.23,FR,4.883333333333334,0.7,7.1,143.1,3.0,-0.5848408171045039,4.081611875260882,4.796666666666667,4.496666666666667,4.23,4.156666666666667,0,0.08666666666666689,0.2999999999999998,0.0
2008-06-30,102.6309,FR,4.87,0.7,7.333333,125.4,3.0,0.39215494473245904,2.7081365186620188,4.883333333333334,4.796666666666667,4.496666666666667,4.23,0,-0.013333333333333641,0.08666666666666689,0.0
2008-09-30,102.8314,FR,5.07,0.0,7.5,110.3,3.2282608695652173,0.1953602667422727,0.5882813264208142,4.87,4.883333333333334,4.796666666666667,4.496666666666667,0,0.20000000000000018,-0.013333333333333641,0.0
2008-12-31,99.4237,FR,5.273333333333333,0.1,7.8,103.0,2.7934782608695654,-3.313871054950146,-3.313871054950146,5.07,4.87,4.883333333333334,4.796666666666667,0,0.20333333333333314,0.20000000000000018,0.0
2009-03-31,95.7154,FR,4.983333333333333,-0.3,8.6,90.0,1.1055555555555556,-3.7297948074754728,-6.372493397241518,5.273333333333333,5.07,4.87,4.883333333333334,0,-0.29000000000000004,0.20333333333333314,0.0
2009-06-30,94.4124,FR,4.43,0.0,9.166667,88.0,0.2692307692307692,-1.3613274352925364,-8.00782220559304,4.983333333333333,5.273333333333333,5.07,4.87,0,-0.5533333333333337,-0.29000000000000004,0.0
2009-09-30,95.9158,FR,4.156666666666667,0.0,9.2,95.0,0.25,1.5923755777842663,-6.725183163897408,4.43,4.983333333333333,5.273333333333333,5.07,0,-0.27333333333333254,-0.5533333333333337,0.0
